experiment,n,seed,method,status,N_DCA,N_E,N_Av,first_escape_dca,q,S,runtime_sec,stages_completed,objective_gap,ref_feas,ref_stationarity,ref_complementarity,ref_shifted_psd
E1,50,3,persistent_cc_dca,GREEN,47,1,29,17.0,-2.499999999182558,5.718191270487735e-05,0.005451971999946,1,8.174398935523186e-10,0.0,7.293752075091679e-15,2.7755575615628894e-15,-4.440892098500626e-15
E1,50,4,plain_dca,FIRST_ORDER,39,0,0,,-1.5,6.955083103234688e-11,0.0010264940001430002,0,1.000000000000003,4.440892098500626e-16,3.832809397017372e-15,2.220446049250313e-15,8.881784197001252e-16
E1,50,4,post_dca,GREEN_POST,67,1,52,39.0,-2.500000000000001,9.013149072128243e-11,0.014076065999915002,1,2.664535259100375e-15,4.440892098500626e-16,3.832809397017372e-15,2.220446049250313e-15,8.881784197001252e-16
E1,50,4,cold_cc_dca,GREEN,73,1,32,17.0,-2.499999999244818,5.4961203384114506e-05,0.0063319250000400005,1,7.551861358479073e-10,4.440892098500626e-16,3.832809397017372e-15,2.220446049250313e-15,8.881784197001252e-16
E1,50,4,persistent_cc_dca,GREEN,73,1,29,17.0,-2.499999999244818,5.4961203384114506e-05,0.006445427000016,1,7.551861358479073e-10,4.440892098500626e-16,3.832809397017372e-15,2.220446049250313e-15,8.881784197001252e-16
E1,50,5,plain_dca,FIRST_ORDER,39,0,0,,-1.4999999999999991,6.955757905821601e-11,0.001107606999994,0,1.0,2.220446049250313e-16,4.882568516659438e-15,1.1102230246251552e-15,-5.329070518200752e-15
E1,50,5,post_dca,GREEN_POST,67,1,52,39.0,-2.5,9.013161250370476e-11,0.015606097999807,1,0.0,2.220446049250313e-16,4.882568516659438e-15,1.1102230246251552e-15,-5.329070518200752e-15
E1,50,5,cold_cc_dca,GREEN,61,1,32,17.0,-2.49999999902985,6.229442305277461e-05,0.006146326000134,1,9.701492942326695e-10,2.220446049250313e-16,4.882568516659438e-15,1.1102230246251552e-15,-5.329070518200752e-15
E1,50,5,persistent_cc_dca,GREEN,61,1,29,17.0,-2.49999999902985,6.229442305277461e-05,0.005793075999918001,1,9.701492942326695e-10,2.220446049250313e-16,4.882568516659438e-15,1.1102230246251552e-15,-5.329070518200752e-15
E1,50,6,plain_dca,FIRST_ORDER,39,0,0,,-1.5,6.954214052412138e-11,0.0010502299999180001,0,0.9999999999999981,0.0,3.1707715180562252e-15,5.551115123125778e-16,-4.440892098500626e-15
E1,50,6,post_dca,GREEN_POST,67,1,52,39.0,-2.499999999999999,9.013192770502488e-11,0.013478527999950002,1,-4.440892098500626e-16,0.0,3.1707715180562252e-15,5.551115123125778e-16,-4.440892098500626e-15
E1,50,6,cold_cc_dca,GREEN,58,1,32,17.0,-2.499999999207791,5.62924042544419e-05,0.005987326999957,1,7.922076328270579e-10,0.0,3.1707715180562252e-15,5.551115123125778e-16,-4.440892098500626e-15
E1,50,6,persistent_cc_dca,GREEN,58,1,29,17.0,-2.499999999207791,5.62924042544419e-05,0.00593690200003,1,7.922076328270579e-10,0.0,3.1707715180562252e-15,5.551115123125778e-16,-4.440892098500626e-15
