experiment,n,seed,eta,S,threshold,theorem_hypothesis,case,alignment,decrease,predicted_delta,R_dec
E2,200,2,1e-05,2.0000000002330853e-05,0.0018518518514810001,True,III-hard,1.000000000078599e-05,0.0006253043424250001,1.1574074070601811e-05,54.02629520175908
E2,200,2,0.0001,0.00019999999900300003,0.0018518518148140002,True,III-hard,0.0001,0.0006298007910310001,1.1574073726851851e-05,54.414789977544075
E2,200,2,0.0005,0.000999999875003,0.001851850925926,True,III-hard,0.0005,0.00064978426066,1.1574065393520661e-05,56.14140222713069
E2,200,2,0.0009000000000000001,0.001799999271003,0.0018518488518530002,True,III-hard,0.0009000000000000001,0.0006697664832730001,1.1574045949096842e-05,57.867964773836775
E2,200,3,0.0,1.047281664394391e-14,0.0018518518518510002,True,III-hard,8.196843305676868e-16,0.0006248047332740001,1.1574074074074202e-05,53.98312895492846
E2,200,3,1e-06,1.999999998240766e-06,0.0018518518518480002,True,III-hard,9.999999991852834e-07,0.0006248546942250001,1.1574074074039472e-05,53.9874455812126
E2,200,3,1e-05,1.9999999997181652e-05,0.0018518518514810001,True,III-hard,9.9999999991766e-06,0.000625304342434,1.1574074070601982e-05,54.02629520252567
E2,200,3,0.0001,0.000199999998998,0.0018518518148140002,True,III-hard,9.999999999916961e-05,0.0006298007910390001,1.157407372685198e-05,54.41478997825325
E2,200,3,0.0005,0.0009999998749980002,0.001851850925926,True,III-hard,0.000499999999999,0.000649784260668,1.157406539352081e-05,56.141402227763045
E2,200,3,0.0009000000000000001,0.0017999992709980001,0.0018518488518530002,True,III-hard,0.0008999999999990001,0.0006697664832810001,1.1574045949097002e-05,57.867964774564996
E2,200,4,0.0,5.2474539184474056e-15,0.0018518518518510002,True,III-hard,1.9490818451353172e-16,0.0006248047332710001,1.1574074074074182e-05,53.98312895467917
E2,200,4,1e-06,1.999999999649616e-06,0.0018518518518480002,True,III-hard,9.999999997999066e-07,0.000624854694221,1.157407407403946e-05,53.98744558092489
E2,200,4,1e-05,1.9999999998594513e-05,0.0018518518514810001,True,III-hard,9.999999999787177e-06,0.000625304342431,1.157407407060197e-05,54.026295202295486
E2,200,4,0.0001,0.00019999999899900003,0.0018518518148140002,True,III-hard,9.999999999979704e-05,0.0006298007910360001,1.157407372685199e-05,54.414789978022995
E2,200,4,0.0005,0.000999999874999,0.001851850925926,True,III-hard,0.000499999999999,0.000649784260665,1.157406539352081e-05,56.14140222751366
E2,200,4,0.0009000000000000001,0.0017999992709990002,0.0018518488518530002,True,III-hard,0.0008999999999990001,0.000669766483278,1.1574045949096971e-05,57.86796477427735
E2,200,5,0.0,5.978743162726869e-15,0.0018518518518510002,True,III-hard,7.658220646511592e-16,0.000624804733267,1.1574074074073982e-05,53.9831289542964
E2,200,5,1e-06,1.999999998486648e-06,0.0018518518518480002,True,III-hard,9.999999992356738e-07,0.000624854694215,1.157407407403925e-05,53.98744558040789
E2,200,5,1e-05,1.9999999997484575e-05,0.0018518518514810001,True,III-hard,9.99999999925274e-06,0.0006253043424250001,1.1574074070601731e-05,54.02629520179781
E2,200,5,0.0001,0.000199999998998,0.0018518518148140002,True,III-hard,9.999999999922529e-05,0.0006298007910300001,1.157407372685174e-05,54.41478997750621
E2,200,5,0.0005,0.0009999998749980002,0.001851850925926,True,III-hard,0.000499999999999,0.00064978426066,1.1574065393520581e-05,56.14140222707351
E2,200,5,0.0009000000000000001,0.0017999992709980001,0.0018518488518530002,True,III-hard,0.0008999999999990001,0.000669766483272,1.157404594909675e-05,57.86796477379886
E2,200,6,0.0,5.877193010445902e-15,0.0018518518518510002,True,III-hard,1.269046854031167e-16,0.000624804733273,1.157407407407411e-05,53.98312895485215
E2,200,6,1e-06,2.0000000002255686e-06,0.0018518518518480002,True,III-hard,1.0000000001073218e-06,0.000624854694224,1.1574074074039401e-05,53.98744558111703
E2,200,6,1e-05,1.999999999907005e-05,0.0018518518514810001,True,III-hard,1.000000000012776e-05,0.0006253043424320001,1.1574074070601902e-05,54.0262952023342
E2,200,6,0.0001,0.00019999999900000001,0.0018518518148140002,True,III-hard,0.0001,0.0006298007910380001,1.157407372685191e-05,54.414789978157664
E2,200,6,0.0005,0.000999999875,0.001851850925926,True,III-hard,0.0005,0.0006497842606670001,1.157406539352073e-05,56.14140222772506
