experiment,n,seed,mode,final_delta,method,status,N_DCA,N_E,N_Av,first_escape_dca,q,S,runtime_sec,stages_completed,objective_gap,ref_feas,ref_stationarity,ref_complementarity,ref_shifted_psd
E4,100,10,progressive,0.0625,persistent_cc_dca,GREEN,69,1,100,15,-2.499999999999824,8.418577286814337e-07,0.083558996999727,5,1.807443084089754e-13,8.881784197001252e-16,5.079250490204495e-15,4.4408920985006285e-15,1.77635683940025e-15
E4,100,10,cold_final,0.0625,persistent_cc_dca,GREEN,80,1,84,24,-2.499999999999777,9.473781283516105e-07,0.06487683199975401,1,2.282618538629322e-13,8.881784197001252e-16,5.079250490204495e-15,4.4408920985006285e-15,1.77635683940025e-15
E4,100,11,progressive,0.0625,persistent_cc_dca,GREEN,91,1,100,15,-2.499999999999842,7.947445233245565e-07,0.07022625900026401,5,1.567634910770721e-13,0.0,3.748615815907253e-15,5.551115123125781e-16,-1.77635683940025e-15
E4,100,11,cold_final,0.0625,persistent_cc_dca,GREEN,102,1,84,24,-2.499999999999801,8.947386433764535e-07,0.06868562999989,1,1.980637875931279e-13,0.0,3.748615815907253e-15,5.551115123125781e-16,-1.77635683940025e-15
E4,100,12,progressive,0.0625,persistent_cc_dca,GREEN,77,1,100,15,-2.4999999999997913,9.14630645132909e-07,0.090378192000116,5,2.113864638886298e-13,4.440892098500626e-16,4.5760772297656836e-15,2.2204460492503143e-15,1.77635683940025e-15
E4,100,12,cold_final,0.0625,persistent_cc_dca,GREEN,88,1,84,24,-2.499999999999747,1.006483634827898e-06,0.081169633999707,1,2.5579538487363597e-13,4.440892098500626e-16,4.5760772297656836e-15,2.2204460492503143e-15,1.77635683940025e-15
E4,100,13,progressive,0.0625,persistent_cc_dca,GREEN,82,1,100,15,-2.499999999999814,8.633668739120252e-07,0.08782707599993901,5,1.869615573468763e-13,2.220446049250313e-16,3.4900474601212073e-15,1.1102230246251561e-15,-8.881784197001252e-16
E4,100,13,cold_final,0.0625,persistent_cc_dca,GREEN,93,1,84,24,-2.499999999999763,9.72494553694295e-07,0.042546110999865,1,2.371436380599334e-13,2.220446049250313e-16,3.4900474601212073e-15,1.1102230246251561e-15,-8.881784197001252e-16
E4,100,14,progressive,0.0625,persistent_cc_dca,GREEN,66,1,100,15,-2.499999999999817,8.551706623534461e-07,0.083659619000172,5,1.816324868286756e-13,0.0,4.417674201378695e-15,1.1102230246251561e-15,8.881784197001252e-16
E4,100,14,cold_final,0.0625,persistent_cc_dca,GREEN,86,1,84,24,-2.499999999999767,9.640204395219842e-07,0.068903537999631,1,2.313704783318826e-13,0.0,4.417674201378695e-15,1.1102230246251561e-15,8.881784197001252e-16
E4,100,15,progressive,0.0625,persistent_cc_dca,GREEN,83,1,100,15,-2.4999999999998312,8.186029697971685e-07,0.090176879999944,5,1.6431300764452312e-13,0.0,3.394778345345178e-15,2.77555756156289e-15,-1.77635683940025e-15
E4,100,15,cold_final,0.0625,persistent_cc_dca,GREEN,94,1,84,24,-2.499999999999787,9.251403481758258e-07,0.04266227700009,1,2.091660178393795e-13,0.0,3.394778345345178e-15,2.77555756156289e-15,-1.77635683940025e-15
E4,100,16,progressive,0.0625,persistent_cc_dca,GREEN,71,1,100,15,-2.499999999999751,9.980358907793133e-07,0.087305321999792,5,2.48689957516035e-13,0.0,5.497543762792823e-15,5.551115123125779e-16,-3.552713678800501e-15
E4,100,16,cold_final,0.0625,persistent_cc_dca,GREEN,83,1,84,24,-2.499999999999832,8.194007382305677e-07,0.07313555200016701,1,1.669775429036235e-13,0.0,5.497543762792823e-15,5.551115123125779e-16,-3.552713678800501e-15
E4,100,17,progressive,0.0625,persistent_cc_dca,GREEN,79,1,100,15,-2.499999999999766,9.669720524533713e-07,0.087362517999736,5,2.362554596402333e-13,4.440892098500626e-16,4.868461489857843e-15,2.2204460492503143e-15,3.552713678800501e-15
E4,100,17,cold_final,0.0625,persistent_cc_dca,GREEN,91,1,84,24,-2.499999999999821,8.473212221907383e-07,0.042059189000156004,1,1.807443084089754e-13,4.440892098500626e-16,4.868461489857843e-15,2.2204460492503143e-15,3.552713678800501e-15
E4,100,18,progressive,0.0625,persistent_cc_dca,GREEN,73,1,100,15,-2.499999999999821,8.467274153962818e-07,0.09162549800021201,5,1.8207657603852562e-13,6.661338147750939e-16,4.816585936542586e-15,3.330669073875468e-15,-1.77635683940025e-15
