experiment,axis,value,n,seed,negfrac,bscale,method,status,N_DCA,N_E,N_Av,first_escape_dca,q,S,runtime_sec,stages_completed,objective_gap,ref_feas,ref_stationarity,ref_complementarity,ref_shifted_psd
E5,gap,0.25,200,1,,,persistent_cc_dca,GREEN,669,1,123,15.0,-2.499999999997985,1.003460993448827e-06,0.20510922599987602,5,,,,,
E5,gap,0.5,200,1,,,persistent_cc_dca,GREEN,340,1,123,14.0,-2.499999999999052,9.740431792028277e-07,0.18604810200031302,5,,,,,
E5,gap,1.0,200,1,,,persistent_cc_dca,GREEN,175,1,123,13.0,-2.499999999999559,9.378534161372346e-07,0.188282801999775,5,,,,,
E5,gap,2.0,200,1,,,persistent_cc_dca,GREEN,84,1,123,15.0,-2.499999999999759,9.807441545869744e-07,0.151566430999992,5,,,,,
E5,multiplicity,1.0,200,1,,,persistent_cc_dca,GREEN,84,1,123,15.0,-2.499999999999759,9.807441545869744e-07,0.180150077999769,5,,,,,
E5,multiplicity,2.0,200,1,,,persistent_cc_dca,GREEN,83,1,123,15.0,-2.499999999999758,9.826671301162698e-07,0.176239523000276,5,,,,,
E5,multiplicity,4.0,200,1,,,persistent_cc_dca,GREEN,82,1,123,15.0,-2.49999999999978,9.359408261209045e-07,0.145616923000034,5,,,,,
E5,multiplicity,8.0,200,1,,,persistent_cc_dca,GREEN,96,1,123,15.0,-2.499999999999825,8.367368003984019e-07,0.174669982999603,5,,,,,
E5,multiplicity,16.0,200,1,,,persistent_cc_dca,GREEN,83,1,123,14.0,-2.49999999999984,7.952553954198631e-07,0.17475737299992,5,,,,,
E5,extra_negative,0.0,200,1,,,persistent_cc_dca,GREEN,84,1,123,15.0,-2.499999999999759,9.807441545869744e-07,0.18029128600028302,5,,,,,
E5,extra_negative,2.0,200,1,,,persistent_cc_dca,GREEN,80,1,123,15.0,-2.499999999999762,9.748507125281554e-07,0.148927190999984,5,,,,,
E5,extra_negative,5.0,200,1,,,persistent_cc_dca,GREEN,78,1,123,15.0,-2.499999999999786,9.242189456639039e-07,0.173451620000378,5,,,,,
E5,extra_negative,10.0,200,1,,,persistent_cc_dca,GREEN,78,1,123,14.0,-2.499999999999842,7.954711341723168e-07,0.16934292199994103,5,,,,,
E5,extra_negative,20.0,200,1,,,persistent_cc_dca,GREEN,75,1,123,13.0,-2.499999999999843,7.94306240435445e-07,0.15427323200037701,5,,,,,
E5,dimension,100.0,100,1,,,persistent_cc_dca,GREEN,83,1,100,15.0,-2.49999999999983,8.266775082083885e-07,0.087911580999843,5,,,,,
E5,dimension,200.0,200,1,,,persistent_cc_dca,GREEN,84,1,123,15.0,-2.499999999999759,9.807441545869744e-07,0.17063604099985202,5,,,,,
E5,dimension,400.0,400,1,,,persistent_cc_dca,GREEN,74,1,128,15.0,-2.499999999999835,8.153237173583718e-07,0.25307216800001703,5,,,,,
